Date,Open,High,Low,Close,Volume
2022-05-05,317.07,317.14,301.9,305.2,154607400
2022-05-06,303.2,307.24,297.51,301.54,139572800
2022-05-09,295.92,301.64,288.35,289.74,113387300
2022-05-10,296.92,298.14,289.18,293.26,124124600
2022-05-11,291.0,296.51,283.7,284.57,140326100
2022-05-12,280.29,288.38,277.84,283.89,120910900
2022-05-13,288.35,295.45,286.75,294.42,83684900
2022-05-16,292.67,294.73,289.73,291.0,59190400
2022-05-17,296.86,298.92,293.06,298.54,62715300
2022-05-18,294.03,294.72,282.63,283.88,79477100
2022-05-19,282.08,287.05,280.41,282.36,79920700
2022-05-20,285.82,286.48,273.23,281.49,91764200
2022-05-23,282.53,286.55,280.13,286.17,63648400
2022-05-24,280.95,281.66,275.22,280.08,73491100
2022-05-25,278.59,286.08,278.39,284.0,67144500
2022-05-26,283.2,293.42,282.92,291.87,59462200
2022-05-27,295.0,301.54,294.88,301.4,66985600
2022-05-31,301.37,303.57,296.75,300.6,60968300
2022-06-01,302.73,304.86,296.16,298.37,65341700
2022-06-02,297.25,306.72,295.84,306.55,59291300
2022-06-03,301.33,302.73,297.32,298.57,60914700
2022-06-06,303.01,304.57,298.0,299.56,51785000
2022-06-07,296.24,302.93,295.15,302.15,44900300
2022-06-08,301.35,303.95,299.13,299.97,38342100
2022-06-09,298.29,301.35,291.77,291.94,55900500
2022-06-10,286.33,287.52,281.19,281.64,85963500
2022-06-13,272.78,275.3,267.69,268.55,94442000
2022-06-14,270.74,271.72,266.53,269.03,64697500
2022-06-15,272.46,279.68,269.72,275.75,86051400
2022-06-16,268.72,269.18,262.57,264.63,81910300
2022-06-17,265.4,270.28,263.77,267.84,82703400
2022-06-21,272.33,276.92,272.22,274.6,51633700
2022-06-22,272.1,278.61,271.51,274.2,67472900
2022-06-23,276.68,279.14,273.85,278.29,57457800
2022-06-24,281.11,288.24,280.87,287.82,58422300
2022-06-27,289.18,289.74,284.58,285.71,54151500
2022-06-28,286.25,288.84,276.82,277.01,61609800
2022-06-29,276.87,278.76,274.37,277.26,57302700
2022-06-30,274.28,277.4,269.42,273.82,79313600
2022-07-01,272.52,276.02,270.65,275.63,56675100
2022-07-05,271.9,280.46,270.37,280.35,61829300
2022-07-06,280.73,284.24,279.01,282.14,63194700
2022-07-07,282.96,288.89,282.96,288.18,56620100
2022-07-08,285.35,289.91,284.41,288.54,59895500
2022-07-11,286.13,286.35,281.5,282.38,55273900
2022-07-12,283.63,285.54,278.05,279.64,55797100
2022-07-13,274.13,281.41,273.57,279.07,73939400
2022-07-14,276.47,280.93,273.35,280.06,63741800
2022-07-15,283.05,285.25,281.44,285.14,63818100
2022-07-18,287.93,289.33,281.56,282.73,59519600
2022-07-19,286.35,291.72,284.75,291.43,55172600
2022-07-20,291.85,297.23,291.06,296.05,67769400
2022-07-21,296.51,300.35,293.85,300.3,55049400
2022-07-22,299.37,301.44,293.2,295.03,57127700
2022-07-25,295.06,295.53,291.35,293.35,40582400
2022-07-26,291.65,291.9,286.77,287.59,50074100
2022-07-27,292.15,301.43,291.58,299.74,69304400
2022-07-28,299.52,303.25,295.77,302.67,55139900
2022-07-29,304.21,309.1,302.79,308.19,57501000
2022-08-01,306.42,311.46,305.33,308.0,46358800
2022-08-02,305.71,311.21,304.65,307.09,48676500
2022-08-03,308.77,316.27,308.71,315.45,53735700
2022-08-04,315.53,317.24,313.38,316.92,38973700
2022-08-05,311.83,316.37,311.05,314.33,53894000
2022-08-08,315.25,318.95,311.85,313.32,43878500
2022-08-09,311.42,311.68,308.15,309.77,39764200
2022-08-10,317.11,318.71,314.64,318.42,51459600
2022-08-11,320.74,322.75,315.91,316.61,45897700
2022-08-12,318.66,322.97,317.61,322.78,40928400
2022-08-15,321.83,325.88,321.81,325.38,38266600
2022-08-16,324.41,326.71,321.57,324.62,41186900
2022-08-17,321.49,323.79,318.84,320.92,47842200
2022-08-18,320.87,322.87,319.26,321.69,41937200
2022-08-19,318.65,319.31,314.66,315.42,51770600
2022-08-22,311.16,311.39,306.3,307.12,51098900
2022-08-23,306.88,309.69,306.11,306.86,39497100
2022-08-24,306.38,309.57,305.78,307.75,38057100
2022-08-25,309.53,313.21,308.48,313.19,38098300
2022-08-26,312.9,314.1,300.27,300.35,69047700
2022-08-29,297.6,300.14,296.29,297.39,48321900
2022-08-30,299.05,299.66,291.56,294.08,51184500
2022-08-31,296.98,297.88,292.27,292.37,50044000
2022-09-01,289.88,292.87,286.2,292.5,57990700
2022-09-02,295.37,296.75,286.76,288.37,64666800
2022-09-06,288.85,289.76,284.17,286.3,57005400
2022-09-07,286.78,293.08,286.51,292.08,49260400
2022-09-08,290.01,294.91,288.64,293.59,55649800
2022-09-09,295.85,300.51,293.59,300.01,56125200
2022-09-12,301.39,303.91,301.08,303.58,45905700
2022-09-13,294.84,296.04,286.04,286.93,79562200
